"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","recreation","ecosystem","economic","viewshed","historic","culture"
"27",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T22:58:37.901Z",222,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.750679,43.64974,2,1,2,2,2,2
"28",165,NA,NA,NA,NA,NA,"2016-03-15T23:13:21.824Z",230,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779261,43.659924,2,2,2,2,2,2
"29",165,NA,NA,NA,NA,NA,"2016-03-15T23:14:26.815Z",232,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779261,43.659924,NA,NA,NA,NA,NA,NA
"30",166,"Bachelors","45 - 64  years","Male","Yes","Yes","2016-03-15T23:22:49.905Z",242,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.791878,43.64179,NA,NA,NA,NA,NA,NA
"31",166,"Bachelors","45 - 64  years","Male","Yes","Yes","2016-03-15T23:22:13.915Z",241,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.757545,43.678301,2,3,1,3,3,3
"32",179,"PhD or Higher","45 - 64  years","Male","Yes","No","2016-03-15T23:41:47.268Z",255,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.801147,43.68277,1,2,1,2,2,1
"33",181,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:41:06.102Z",253,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779261,43.659986,3,3,3,3,3,3
"34",182,NA,NA,NA,NA,NA,"2016-03-15T23:41:24.422Z",254,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA
"35",183,NA,NA,NA,NA,NA,"2016-03-15T23:39:43.559Z",248,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.865005,43.677556,NA,NA,NA,NA,NA,NA
"36",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:13:40.788Z",269,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.820757,43.66074,3,3,3,3,3,3
